Bubble Radius (µm),PRE Area (%),PRE Perimeter (%),ME Area (µm^2),ME Perimeter (µm)
10.00,-0.11592,-16.08065,-3.64e-13,-1.01e-05
31.11,0.01341,-1.60569,4.08e-13,-3.14e-06
52.22,0.00112,2.76080,9.61e-14,9.06e-06
73.33,-0.02683,4.75404,-4.53e-12,2.19e-05
94.44,0.00180,5.90516,5.04e-13,3.50e-05
115.56,-0.00812,7.11555,-4.76e-12,6.11e-05
136.67,-0.00812,7.11555,-4.76e-12,6.11e-05
157.78,0.00033,8.01381,4.09e-13,1.01e-04
178.89,0.00033,8.01381,4.09e-13,1.01e-04
200.00,0.00033,8.01381,4.09e-13,1.01e-04
